no	Year	Authors	Citation	publication	Score
15	1927	CE Guye 	Essai de théorie cinétique des accidents de la circulation dans une agglomération urbaine	 Archives des sciences physiques et naturelles,  	1
16	1922	CE Guye 	Les tendances de la physique moderne et la notion de matière	 Archives des sciences physiques et naturelles,  	1
17	1923	CE Guye, JJ Weigle 	Potentiel disruptif dans les gaz aux pressions élevées et champ moléculaire (suite et fin)	 AArchives des sciences physiques et naturelles,  	1
18	1927	CE Guye, BJ Luyet 	Recherches sur la rotation de la décharge électrique dans un gaz décomposable (suite et fin)	 AArchives des sciences physiques et naturelles,  	1
19	1924	CE Guye 	Lucien de la Rive, 1834-1924	 Archives des sciences physiques et naturelles,  	1
20	1924	A Pazziani, CE Guye 	Influence du recuit sur le frottement intérieur des fils de quartz aux températures élevées	 AArchives des sciences physiques et naturelles,  	1
21	1924	CE Guye 	La loi de répartition des vitesses moléculaires et les actions de surface	 Journal de chimie physique,  	1
22	1923	CE Guye, JJ Weigle 	Potentiel disruptif dans les gaz aux pressions élevées et champ moléculaire	 AArchives des sciences physiques et naturelles,  	1
23	1923	CE Guye, R Rudy 	Sur la rotation de la décharge électrique dans un champ magnétique et la détermination des diamètres moléculaires (suite et fin)	 AArchives des sciences physiques et naturelles,  	1
24	1929	CE Guye, A Dupraz 	Influence du champ magnétique sur le frottement intérieur des corps solides magnétisables	 Helvetica physica acta,  	1
25	1924	A Pazziani, CE Guye 	Influence du recuit sur le frottement intérieur des fils de quartz aux températures élevées (suite)	 AArchives des sciences physiques et naturelles,  	1
26	1925	CE Guye, JR Clarke 	Physico-chemical evolution	  	1
27	1921	A Rothen, CE Guye 	Recherches sur la rotation de la décharge électrique dans un champ magnétique	 Archives des sciences physiques et naturelles, 5(5), 441-470.	1
0	1930	M Knudsen 	Radiometer pressure and coefficient of accommodation	 1930 	1
1	1930	M Knudsen 	Radiometerdruck und Akkommodationskoeffizient	 Annalen der physik, 1930 	1
3	1927	M Knudsen 	The Hot-Wire Manometer	 1927 	1
4	1922	M Knudsen 	On measurement of the penetration of light into the sea	 ICES Journal of Marine Science, 1922 	1
5	1929	M Knudsen 	A frameless reversing waterbottle	 ICES Journal of Marine Science, 1929 	1
6	1928	M KNUDSEN 	A New Bottom-Sampler for Oceanographical Research.	 Nature, 1928 	1
7	1923	M Knudsen 	Some new oceanographical instruments	 ICES Journal of Marine Science, 1923 	1
8	1927	M Knudsen 	Thermischer Molekulardruck in Röhren	 Annalen der Physik, 1927 	1
12	1921	JP Jacobsen, M Knudsen 	Manuel pratique de l'analyse de l'eau de mer: II. Dosage de l'oxygène dans l'eau de mer par la méthode de Winkler	 1921	1
13	1925	M Knudsen 	L'emploi de l'eau normale dans l'océanographie	 ICES Journal of Marine Science, 1925 	1
17	1927	M Knudsen 	Das Hitzdrahtmanometer	 Annalen der Physik, 1927 	1
18	1927	M Knudsen 	Thermal Molecular Pressure in Tubes	 1927 	1
0	1928	M d'Ocagne, G Darmois, T De Donder,	Le problème géométrique des déblais et remblais	 1928 	1
1	1921	T De Donder, T Donder 	La gravifique einsteinienne	 1921 	1
2	1925	T De Donder 	Introduction à la gravifique einsteinienne	 1925 	1
3	1930	T De Donder 	Théorie invariantive du calcul des variations	 1930 	1
4	1927	T De Donder 	L'affinité	 Mémoires de la Classe des sciences. Académie …, 1927 	1
5	1930	T De Donder 	Applications de la gravifique einsteinienne	 1930 	1
6	1926	T De Donder, FH Van Den Dungen 	Physique mathématique-La quantification déduite de la Gravifique einsteinienne	 … rendus hebdomadaires des …, 1926 	1
7	1932	T De Donder 	Application de la gravifique einsteinienne à l'électrodynamique des corps en mouvement	 1932 	1
8	1922	T De Donder 	L'Affinité: Application aux gaz parfaits	 Bulletin de la Classe des sciences. Académie …, 1922 	1
10	1930	T De Donder 	Einsteinian gravity	 Annales de l'Institut Henri Poincaré, 1930 	1
11	1922	T de Donder 	Bez naslova	 Bulletin de l 'Académie Royale de Belgique, Classe …, 1922	1
12	1927	T De Donder 	Théorie des invariants intégraux	 1927 	1
13	1926	T De Donder 	Application de la quantification déduite de la Gravifique einsteinienne	 Comptes rendus hebdomadaires des séances de l …, 1926 	1
14	1926	T De Donder 	Application de la relativité aux systèmes atomiques et moléculaires	 Comptes rendus hebdomadaires des séances de l …, 1926 	1
15	1932	T De Donder, Y Dupont 	Théorie relativiste de l'élasticité et de l'électromagnétisation	 Bulletin de la Classe des sciences …, 1932 	1
16	1927	T De Donder 	Le principe de correspondance déduit de la gravifique et de la mécanique ondulatoire	 Bulletin de la Classe des sciences. Académie …, 1927 	1
17	1925	T De Donder 	Théorie mathématique de l'électricité: 1. ptie	 1925 	1
18	1922	T de Donder 	Review of La théorie de la relativité et ses applications à l'astronomie, by Emile Picard	 Revue Universitaire Bruxelles, 1922	1
19	1922	T de Donder 	Review of L'éther actuel et ses précurseurs, by Ernest M. Lémeray	 Revue Universitaire Bruxelles, 1922	1
1	1921	Wilson CTR. 	III. Investigations on lighting discharges and on the electric field of thunderstorms. 	Philosophical Transactions of the Royal Society of London.;221(582-593):73-115.	1
2	1923 	Wilson CTR. 	Investigations on X-rays and β-rays by the cloud method. Part 1.—X-rays. 	Proceedings of the Royal Society of London. Series A;104(724):1-24.	1
3 	1933 	Wilson CTR. 	On a new type of expansion apparatus. 	Proceedings of the Royal Society of London.142(846):88-91.	1



