no	Year	Authors	Citation	publication	Score
79	1925	DeFoe OK, Compton AH. 	The density of rock salt and calcite 	Physical Review. 25: 618-620. DOI: 10.1103/Physrev.25.618	0.265
80	1925	Compton AH, Simon AW. 	Measurements of β-rays associated with scattered X-rays 	Physical Review. 25: 306-313. DOI: 10.1103/Physrev.25.306	0.265
81	1925	Compton AH. 	Light Waves or Light Bullets 	Scientific American. 133: 246-247. DOI: 10.1038/Scientificamerican1025-246	0.265
82	1924	Compton AH, Hagenow CF. 	A Measurement of the Polarization of Secondary X-Rays* 	Journal of the Optical Society of America. 8: 487-491. DOI: 10.1364/Josa.8.000487	0.265
83	1924	Compton AH. 	The scattering of X-rays 	Journal of the Franklin Institute. 198: 57-72. DOI: 10.1148/3.6.479	0.265
84	1924	Compton AH. 	A general quantum theory of the wave-length of scattered X-rays 	Physical Review. 24: 168-176. DOI: 10.1103/Physrev.24.168	0.265
85	1924	Compton AH, Hubbard JC. 	The recoil of electrons from scattered x-rays 	Physical Review. 23: 439-449. DOI: 10.1103/Physrev.23.439	0.265
86	1924	Compton AH. 	Scattering of X-ray Quanta and the J Phenomena 	Nature. 113: 160-161. DOI: 10.1038/113160A0	0.265
87	1923	Compton AH. 	The spectrum of scattered x-rays 	Physical Review. 22: 409-413. DOI: 10.1103/Physrev.22.409	0.265
88	1923	Compton AH. 	A Quantum Theory of the Scattering of X-rays by Light Elements 	Physical Review. 21: 483-502. DOI: 10.1103/Physrev.21.483	0.265
89	1923	Compton AH. 	CXVII. The total reflexion of X-rays	 Philosophical Magazine Series 1. 45: 1121-1131. DOI: 10.1080/14786442308634208	0.265
90	1923	Compton AH. 	XCV. Absorption measurements of the change of wave-length accompanying the scattering of X-rays 	Philosophical Magazine Series 1. 46: 897-911. DOI: 10.1080/14786442308565246	0.265
91	1923	Compton AH. 	Recoil of Electrons from Scattered X-Rays 	Nature. 112: 435-435. DOI: 10.1038/112435A0	0.265
92	1922	Compton AH. 	RADIATION A FORM OF MATTER. 	Science (New York, N.Y.). 56: 716-7. PMID 17831217 DOI: 10.1126/Science.56.1460.716	0.265
93	1922	Compton AH. 	The width of x-ray spectrum lines 	Physical Review. 19: 68-72. DOI: 10.1103/Physrev.19.68	0.265
94	1922	Compton AH. 	The spectrum of secondary X-rays 	Physical Review. 19: 267-268. DOI: 10.1103/Physrev.19.267	0.265
95	1922	Compton AH, Freeman NL. 	The Intensity of X-ray Reflection from Powdered Crystals 	Nature. 110: 38-38. DOI: 10.1038/110038A0	0.265
96	1921	Compton AH. 	The absorption of gamma rays by magnetized iron 	Physical Review. 17: 38-41. DOI: 10.1103/Physrev.17.38	0.265
97	1921	Compton AH. 	LXIX. The wave-length of hard gamma rays P	hilosophical Magazine Series 1. 41: 770-777. DOI: 10.1080/14786442108636267	0.265
98	1921	Compton AH. 	LXVIII. The degradation of gamma-ray energy 	Philosophical Magazine Series 1. 41: 749-769. DOI: 10.1080/14786442108636266	0.265
99	1921	Compton AH. 	XXIII. Possible magnetic polarity of free electrons 	Philosophical Magazine Series 1. 41: 279-281. DOI: 10.1080/14786442108636218	0.265
100	1921	Compton AH. 	The Softening of Secondary X-Rays 	Nature. 108: 366-367. DOI: 10.1038/108366B0	0.265
101	1921	Compton AH. 	The Elementary Particle of Positive Electricity 	Nature. 106: 828-828. DOI: 10.1038/106828A0	0.265
102	1921	Compton AH. 	The magnetic electron J	ournal of the Franklin Institute. 192: 145-155. DOI: 10.1016/S0016-0032(21)90917-7	0.265
123	1933	Pegram GB, Compton AH, Davis B, Sinclair D, Brown WF. 	THE SCIENTIFIC WORK OF THE GOVERNMENT. 	Science (New York, N.Y.). 78: 122-3. PMID 17749820 DOI: 10.1126/Science.78.2015.122	0.241
134	1930	Compton AH. 	What is light? 	Journal of Chemical Education. 7: 2769-2787.	0.12
135	1927	Jauncey GEM, Compton AH. 	Coherence of the reflected x-rays from crystals [7] 	Nature. 120: 549.	0.12
136	1924	Compton AH. 	Scattering of X-ray quanta and the J phenomena [2]	 Nature. 113: 160-161.	0.12
137	1923	Compton AH. 	The Quantum Integral and Diffraction by a Crystal. 	Proceedings of the National Academy of Sciences of the United States of America. 9: 359-62. PMID 16576738	0.12
138	1923	Compton AH. 	Recoil of electrons from scattered X-rays [1] 	Nature. 112: 435.	0.12
139	1922	Compton AH. 	Radiation a form of matter [1] 	Science. 56: 716-717.	0.12
140	1922	Compton AH, Freeman NL. 	The intensity of X-ray reflection from powdered crystals [3] 	Nature. 110: 38.	0.12
141	1921	Compton AH. 	The elementary particle of positive electricity [3] 	Nature. 106: 828.	0.12
142	1921	Compton AH. 	The softening of secondary X-rays [2] 	Nature. 108: 366-367.	0.12
5	1926	DE BROGLIE L. 	Interference and Corpuscular Light 	Nature. 118: 441-442. DOI: 10.1038/118441b0	0.12
6	1924	DE BROGLIE L. 	De Broglie's Theory ofi the Quantum and the Doppler Principle	 Nature. 114: 51-52. DOI: 10.1038/114051c0	0.12
7	1923	DE BROGLIE L. 	Waves and Quanta 	Nature. 112: 540-540. DOI: 10.1038/112540a0	0.12
25	1926	De Broglie L. 	Interference and corpuscular light [2] 	Nature. 118: 441-442.	0.01
2	1925	Debye P, Pauling L. 	THE INTER-IONIC ATTRACTION THEORY OF IONIZED SOLUTES. IV. THE INFLUENCE OF VARIATION OF DIELECTRIC CONSTANT ON THE LIMITING LAW FOR SMALL CONCENTRATIONS 	Journal of the American Chemical Society. 47: 2129-2134. DOI: 10.1021/JA01685A008	0.374
47	1933	Debye P. 	A Method for the Determination of the Mass of Electrolytic Ions 	The Journal of Chemical Physics. 1: 13-16. DOI: 10.1063/1.1749213	0.263
48	1932	Debye P, Sears FW. 	On the Scattering of Light by Supersonic Waves. 	Proceedings of the National Academy of Sciences of the United States of America. 18: 409-14. PMID 16587705 DOI: 10.1073/Pnas.18.6.409	0.263
49	1927	Debye P. 	Das elektrische Ionenfeld und das Aussalzen 	Zeitschrift FüR Physikalische Chemie. DOI: 10.1515/Zpch-1927-13008	0.263
50	1927	Debye P, Manneback C. 	The Symmetrical Top in Wave Mechanics 	Nature. 119: 83-83. DOI: 10.1038/119083A0	0.263
